@relation caracteristicas

@attribute amplitudeCachorro real
@attribute amplitudeGato real
@attribute classe {Cachorro, Gato}

@data
0.0,6832.4923330310385,Gato
0.0,6207.076884738124,Gato
0.0,11022.31752060835,Gato
0.0,5554.583130341764,Gato
0.0,5294.916294310379,Gato
0.0,5289.137369649188,Gato
0.0,8886.352429659639,Gato
0.0,5300.854847144967,Gato
0.0,9060.006300360985,Gato
0.0,8791.2805512078,Gato
0.0,6524.010623310332,Gato
0.0,4648.452287581148,Gato
0.0,5253.868479644649,Gato
0.0,5011.934433940685,Gato
0.0,5310.8798779039425,Gato
0.0,4248.640193894434,Gato
0.0,5806.024963296314,Gato
0.0,7784.850313482241,Gato
0.0,7186.069379834775,Gato
0.0,8013.322632512883,Gato
0.0,7593.38419252741,Gato
0.0,6647.540273535016,Gato
0.0,6222.095689164231,Gato
0.0,6376.654056779202,Gato
0.0,8065.332877904728,Gato
0.0,7724.558931571678,Gato
0.0,9660.870274337005,Gato
0.0,4390.2223229048195,Gato
0.0,7752.477775971273,Gato
0.0,6230.921239633835,Gato
0.0,6226.726678430221,Gato
0.0,6960.945303837004,Gato
0.0,5875.2141729293935,Gato
0.0,5860.3845816773255,Gato
0.0,6866.925417491257,Gato
0.0,5759.611049045498,Gato
0.0,5415.130309428058,Gato
0.0,8049.269035520719,Gato
0.0,8204.9876036439,Gato
0.0,7413.242218963066,Gato
0.0,10945.733887196713,Gato
0.0,11690.5645523362,Gato
0.0,5789.197715974163,Gato
0.0,5282.260322293407,Gato
0.0,6014.1277076837905,Gato
0.0,7730.032747445166,Gato
0.0,6985.779780923392,Gato
0.0,5861.192293148581,Gato
0.0,8739.63450444323,Gato
0.0,4667.632934501648,Gato
0.0,5248.122252694324,Gato
0.0,8959.73581854307,Gato
0.0,7141.305490403251,Gato
0.0,6228.652208664489,Gato
0.0,6783.849250253968,Gato
0.0,7225.400916284474,Gato
0.0,7545.107316917266,Gato
0.0,7200.209636381289,Gato
0.0,9551.03413223857,Gato
0.0,7664.563289686706,Gato
0.0,8929.246625273501,Gato
0.0,9483.280206910478,Gato
0.0,9122.29691471125,Gato
0.0,5566.911988609228,Gato
0.0,6396.264843043716,Gato
0.0,10195.882766971137,Gato
0.0,11776.581895871614,Gato
0.0,11344.713961399779,Gato
0.0,8406.899751155177,Gato
0.0,6239.266003041184,Gato
0.0,6383.300132802514,Gato
0.0,6799.28933323188,Gato
0.0,8776.601964361353,Gato
0.0,8238.422440537855,Gato
0.0,7654.572731449953,Gato
0.0,5453.27971013679,Cachorro
0.0,6629.37067589452,Cachorro
0.0,8409.655908346813,Cachorro
0.0,7904.890894771745,Cachorro
0.0,5192.542380747473,Cachorro
0.0,8785.633660426649,Cachorro
0.0,9422.469411514938,Cachorro
0.0,4463.238220129921,Cachorro
0.0,9395.579948489805,Cachorro
0.0,7632.753654815028,Cachorro
0.0,6221.922015090699,Cachorro
0.0,8335.843179034608,Cachorro
0.0,5534.969329542589,Cachorro
0.0,5719.100042403155,Cachorro
0.0,5413.104152806419,Cachorro
0.0,8610.489406457531,Cachorro
0.0,7795.7768866822735,Cachorro
0.0,7066.89344631345,Cachorro
0.0,5009.036758729245,Cachorro
0.0,7774.595018186694,Cachorro
0.0,8777.991092412578,Cachorro
0.0,8811.42024825251,Cachorro
0.0,9495.844004232582,Cachorro
0.0,9099.782077526876,Cachorro
0.0,8916.73985441017,Cachorro
0.0,6891.930737592684,Cachorro
0.0,7405.111313690305,Cachorro
0.0,8777.179211576657,Cachorro
0.0,8912.875668904071,Cachorro
0.0,8887.18504232716,Cachorro
0.0,9052.675228600156,Cachorro
0.0,9234.263308460568,Cachorro
0.0,9760.684447625481,Cachorro
0.0,8854.856548707665,Cachorro
0.0,7461.726275947869,Cachorro
0.0,9120.068022234453,Cachorro
0.0,9090.198575869632,Cachorro
0.0,9663.777784185726,Cachorro
0.0,7517.379700908093,Cachorro
0.0,8194.311739986126,Cachorro
0.0,8763.053700436749,Cachorro
0.0,8696.813706453031,Cachorro
0.0,7297.789370993613,Cachorro
0.0,3198.364476014479,Cachorro
0.0,8740.541701840642,Cachorro
0.0,8850.468427187687,Cachorro
0.0,8206.831490582537,Cachorro
0.0,8141.216162322395,Cachorro
0.0,8533.839768747896,Cachorro
0.0,8736.87340591249,Cachorro
0.0,8544.06351978544,Cachorro
0.0,8109.488631353203,Cachorro
0.0,7862.463246490255,Cachorro
0.0,8335.939462885492,Cachorro
0.0,9885.005008622413,Cachorro
0.0,9599.978138675946,Cachorro
0.0,9900.296613371474,Cachorro
0.0,9097.284999308984,Cachorro
0.0,8849.231742507187,Cachorro
0.0,8635.624639341297,Cachorro
0.0,8606.198411004125,Cachorro
0.0,7929.865654262272,Cachorro
0.0,9737.522715599069,Cachorro
0.0,8678.280050729116,Cachorro
0.0,9304.747130139633,Cachorro
0.0,9949.474252510945,Cachorro
0.0,9986.47924543788,Cachorro
0.0,4850.340259505725,Cachorro
0.0,4189.562029581849,Cachorro
0.0,8147.331510675528,Cachorro
0.0,7748.812117878741,Cachorro
0.0,5102.317315172118,Cachorro
0.0,7740.635424056831,Cachorro
0.0,8420.099677061897,Cachorro
